Feature,Graphic Design Starter Pack (₹300),"Digital Marketing for Small Business (₹15,000)","Digital Marketing for Startups & Medium Scale (₹49,999)",Digital Marketing for Corporate/Custom Plan (Contact Sales)
Post,1,10,As per plan requirements,"Customised, attractive plans for corporates & enterprises with bulk discounts"
Minor Corrections (Per Plan),1 Correction,3 Corrections,10 Corrections,Dedicated Resource
Minor Corrections After Limit,₹100 per Correction,₹100 per Correction,Not Applicable,Dedicated Resource
Major Corrections (Counted as New Post),Available,Available,Included in the Plan,Dedicated Resource
Images Used,Premium Quality,Premium Quality,Premium + AI Generated,Dedicated Resource
,,,,
Feature,Graphic Design Starter Pack (₹300),"Digital Marketing for Small Business (₹15,000)","Digital Marketing for Startups & Medium Scale (₹49,999)",Digital Marketing for Corporate/Custom Plan (Contact Sales)
Creation & Editing Fee,"₹4,000","₹4,000","₹7,000",Contact Sales
Number of Reels/Videos Included,1 Reel/Video,1 (Video or Reel included),2 Videos included,Contact Sales
Duration of Video/Reel Creation,30 Seconds (Longer duration available – priced accordingly),30 Seconds (Longer duration available – priced accordingly),30 Seconds (Longer duration available – priced accordingly),Contact Sales
Content Included,Yes,Yes,Yes,Yes
Minor Changes Allowed,1 Change,2 Changes,5 Changes,Contact Sales
Price for Additional Minor Changes,₹300,₹300,₹500,Contact Sales
Stock Footage Usage,Premium,Premium,Premium + AI Generated,Contact Sales
Major Changes Policy,Considered as New Video,Considered as New Video,1 Change allowed during the scripting stage,Contact
,,,,
Feature,Graphic Design Starter Pack,"Digital Marketing for Small Business (₹15,000)","Digital Marketing for Startups & Medium Scale (₹49,999)",Digital Marketing for Corporate/Custom Plan
Advertisement Shoots & Editing,Contact for Pricing,Contact for Pricing,Contact for Pricing,Contact for Pricing
Social Media Handling,Not Included,Included – Platforms: Facebook & Instagram,"Included – Platforms: Facebook, Instagram & LinkedIn",Custom Plan Available
Pay-Per-Click (Social Media Ads),Not Included,"₹8,000 (Research & Platform Fee Excluded) – Includes 1 Month Report","Platform Fee: ₹5,000 (Included in the Plan) – Client can increase budget based on recommendations (Monthly Report Included)",Custom Pricing Available
Pay-Per-Click (Google Ads & YouTube Ads),Not Included,Pricing Available Upon Request,Pricing Available Upon Request,Custom Plan Available
